4435,0,6,0,89,2,1,27,17,13,285,8,397,88,6,2,10,39,0,100,0,29,41,18,31,1,16,120,342,104,8,103,17,8,12,21,82,7,194,0,313,86,12,10,93,43,2,6,4,184,1,147,16,160,2,326,2,13,28,21,8,12,28,4,111,1,149,416,37,130,115,588
6,4210,63,2539,45,6,15,16,65,16,17,5,111,18,5,239,27,107,1,25,1,7,7,3,6,335,9,30,9,11,8,32,3,6,24,14,89,7,4,0,63,19,8,63,44,16,3,14,59,24,156,19,5,29,15,17,105,6,28,69,35,13,5,51,13,53,43,73,16,8,49,32
13,38,29706,106,61,73,787,19,1699,55,28,7,160,30,3,254,1027,929,0,29,2,45,26,3,6,8,46,30,18,21,3,189,18,3,19,11,85,7,4,0,69,58,5,27,61,21,63,165,2189,42,57,34,5,81,1478,43,1124,6,17,891,58,94,27,9,37,3490,37,73,16,8,41,48
4,349,62,2190,31,9,22,13,60,10,14,3,119,13,6,372,30,90,0,15,1,9,6,2,6,71,11,25,4,15,1,51,4,7,22,10,55,2,6,0,51,14,4,33,30,15,4,29,79,17,16,22,6,26,6,22,112,3,16,104,15,12,7,30,14,59,31,88,8,4,41,20
73,24,79,23,229574,20,17,3563,181,65,185,16,1507,433,4697,50,104,417,228,1126,221,144,88,128,41,37,40,318,41,363,8799,366,36,271,152,6858,1335,4396,50,230,2398,103,15289,270,16575,605,14,110,65,714,24,532,21,372,23,164,41,6687,1956,195,76,49,56,180,281,26,805,1839,1447,183,4726,376
3,0,30,0,18,2820,1,2,103,15,2,3,19,6,0,2,151,390,0,9,0,2,0,1,2,0,35,8,3,3,1,155,2,0,1,2,16,2,2,0,9,19,5,1,10,4,362,62,8,12,1,12,0,12,18,5,2,2,3,46,5,344,10,0,8,3,10,22,3,1,5,13
0,4,156,13,6,3,4605,2,48,3,2,0,18,3,0,119,37,56,0,2,0,7,1,0,0,2,0,4,1,2,0,14,0,0,2,0,7,4,0,0,7,4,1,2,3,2,6,91,820,10,2,6,0,8,8,4,45,0,1,275,1,5,4,2,2,235,9,8,1,0,4,6
12,1,5,0,1477,1,0,19224,7,5,18,0,125,82,38,2,13,24,2,1144,9,10,3,34,4,1,4,32,22,24,49,32,0,15,8,2601,70,37,9,5,159,7,84,15,12372,83,0,6,2,90,1,41,1,20,1,16,2,94,691,7,4,4,3,14,17,0,101,128,348,92,4561,38
31,11,1088,35,165,224,48,38,33134,1113,30,6,189,20,4,90,1695,7939,0,52,3,34,18,4,10,6,151,35,22,27,6,228,9,23,50,24,437,13,5,1,93,73,22,30,132,27,127,156,149,118,29,42,5,50,782,37,118,26,31,367,386,415,22,15,28,147,52,105,42,11,97,128
10,4,44,5,96,23,4,24,586,7220,13,1,54,29,4,14,77,404,0,30,2,24,7,6,3,2,223,28,17,16,6,92,4,15,51,16,1335,10,5,0,48,34,17,23,88,18,13,32,20,123,31,23,3,31,54,17,3,23,22,55,644,90,15,11,17,12,39,45,32,14,73,600
1539,6,39,4,246,15,7,89,70,42,24619,22,4844,2277,17,21,43,125,2,455,8,140,206,326,126,9,33,707,473,232,17,233,48,24,50,73,231,27,3692,1,877,134,37,52,265,145,7,18,17,282,10,268,65,660,11,2861,6,36,154,60,29,43,48,29,222,11,472,892,72,236,303,229
12,0,6,0,16,10,2,3,14,5,28,6210,236,21,3,2,7,20,1,17,1,2428,46,3,139,0,9,54,22,22,0,332,97,1,1,3,13,3,11,0,66,64,4,1,22,11,2,3,1,10,0,37,155,95,0,60,2,2,10,15,6,32,348,1,25,2,31,86,5,8,19,10
1076,44,161,42,1743,40,45,523,322,140,19970,309,445899,7183,253,87,227,715,5,1751,42,2924,12965,349,7372,74,162,12065,1052,986,87,1833,1413,98,174,450,1353,133,1740,3,6229,590,154,368,1608,945,31,169,108,1207,61,1291,1393,18174,66,12383,76,143,681,383,141,207,456,267,2103,60,1492,6798,318,341,1601,1050
38,7,9,0,262,5,1,179,32,11,2622,8,1621,40000,17,3,11,30,4,6454,3,59,70,821,32,1,9,3703,28,85,16,65,20,15,14,90,82,24,144,1,835,26,41,26,426,281,1,13,4,78,3,136,17,274,5,188,1,66,286,16,10,5,21,24,147,0,1898,1424,85,82,678,48
40,1,41,3,3673,12,8,537,74,31,157,15,1426,231,16631,16,38,123,7,396,8,85,90,68,53,4,19,209,31,411,1185,198,25,28,49,551,395,187,35,4,1634,89,266,52,1521,754,3,24,31,234,7,514,13,346,6,164,4,172,549,101,21,26,26,13,267,7,712,2132,193,35,1076,163
4,156,230,757,39,9,184,10,155,10,20,1,83,13,7,21165,71,120,0,30,3,7,6,1,4,45,24,21,5,11,2,52,3,3,17,12,57,6,2,0,42,24,8,18,42,6,5,48,117,25,21,13,3,32,23,21,171,5,12,151,9,13,8,8,14,332,19,39,13,8,26,21
11,7,571,10,85,211,19,27,1496,67,28,3,143,18,8,54,20123,1924,0,40,4,26,6,6,7,2,63,26,21,29,8,129,3,11,18,18,174,14,6,1,90,43,8,26,81,37,663,1021,212,65,13,41,4,53,47,20,29,20,21,2163,37,145,11,12,34,65,49,125,12,10,61,74
43,32,2898,95,316,2275,124,69,21628,1616,87,10,687,67,10,154,8880,79793,7,95,7,65,37,10,21,17,1641,107,84,81,12,773,8,31,75,35,600,14,19,1,302,340,38,58,280,92,1613,629,342,218,99,109,21,157,826,139,386,30,51,1264,517,3923,83,35,94,549,113,401,47,26,144,431
0,0,0,0,100,0,0,12,1,0,1,0,6,5,5,0,0,1,753,18,36,1,5,2,1,1,0,7,1,12,3,0,0,6,2,18,8,125,1,0,24,0,19,12,38,7,0,0,0,2,0,12,0,5,0,2,0,13,14,0,1,0,0,11,5,1,22,39,5,1,24,3
71,3,28,5,856,3,4,1770,46,25,442,7,846,8850,45,8,22,56,4,84919,18,68,47,2591,25,5,15,254,44,137,42,115,12,58,40,565,185,73,328,1,1388,35,114,59,1560,493,1,8,8,238,5,258,9,198,5,111,7,142,1998,40,13,7,23,48,132,5,2516,1107,272,384,4939,136
2,1,5,1,226,0,0,47,2,4,7,0,32,26,9,1,1,6,33,49,1825,1,1,5,1,1,1,18,2,14,7,3,0,151,24,60,63,111,3,5,69,3,183,177,238,46,0,0,1,22,3,44,0,12,1,3,0,54,43,5,4,0,0,50,9,0,70,90,41,5,85,10
15,1,42,1,89,5,4,19,24,12,108,1099,805,63,9,2,29,49,1,63,0,29682,209,10,2705,0,18,107,26,39,9,194,4136,1,3,34,43,8,12,0,216,75,14,16,67,40,1,12,15,22,4,83,612,223,7,212,3,20,47,24,9,23,143,3,77,11,85,218,23,14,64,36
8,1,5,1,32,0,1,6,5,2,65,6,1885,46,3,1,4,11,0,28,0,167,20493,4,312,0,5,129,12,46,1,27,1503,0,3,9,16,3,6,0,119,16,1,5,28,20,0,5,2,18,2,50,12,2162,1,90,1,2,13,9,0,2,7,7,130,1,43,128,5,4,30,19
37,0,2,0,86,1,0,57,4,3,233,1,165,282,4,0,4,8,0,1241,1,7,8,5278,4,0,1,60,13,30,6,24,1,0,4,23,25,4,700,0,159,10,13,2,198,52,0,1,1,53,1,33,2,51,0,49,1,14,69,9,2,2,4,3,29,2,144,172,69,1531,856,26
14,0,1,0,35,2,0,10,7,1,102,97,1629,49,3,0,5,15,1,26,0,1895,255,5,10226,0,4,76,20,21,3,43,896,5,2,7,23,4,8,0,115,14,4,4,41,19,1,6,1,14,1,43,248,173,0,550,2,7,25,9,3,4,35,3,44,1,44,124,7,5,37,15
4,34,8,33,33,0,3,12,11,7,18,1,87,15,1,13,3,12,0,18,1,4,8,1,0,1489,3,23,6,15,2,11,1,5,16,6,81,4,6,0,50,9,3,63,33,12,0,3,3,24,9,31,1,27,2,13,4,2,11,12,3,3,1,126,15,4,39,85,17,5,31,19
25,16,53,7,41,49,13,9,186,487,41,15,219,55,7,37,83,437,0,32,2,46,21,7,12,8,6579,76,87,41,14,766,12,3,5,3,67,19,8,0,134,781,22,15,36,23,23,31,39,37,14,76,21,143,13,77,173,12,10,84,17,803,78,12,57,20,49,158,15,10,31,150
64,2,17,3,132,7,1,48,30,12,562,16,5243,8936,11,4,25,63,0,253,4,117,245,53,79,2,15,48893,62,238,10,135,34,4,29,50,85,21,51,0,2128,44,19,46,119,217,2,20,9,59,3,448,18,3488,6,180,13,11,85,27,14,24,31,19,1852,4,626,5339,28,30,178,61
831,2,52,3,72,17,7,23,80,44,291,16,604,92,6,11,48,129,0,94,1,60,47,24,39,1,74,133,8857,105,7,421,26,3,10,19,88,5,119,0,348,941,8,12,74,46,11,21,29,78,3,184,119,262,8,1112,10,9,42,60,15,70,359,4,112,13,144,436,26,47,106,216
52,15,13,2,461,1,2,90,17,11,82,5,639,162,46,4,23,44,7,185,11,44,64,20,19,5,12,291,40,137865,15,102,6,21,17,117,70,47,21,1,6760,14,53,28,308,450,1,16,8,83,8,19646,11,447,4,60,4,38,263,22,7,11,12,31,3522,7,560,2709,46,25,315,34
1,0,4,0,1856,1,0,53,9,2,3,1,43,13,663,0,5,11,3,17,1,6,6,1,2,0,1,6,1,7,5447,5,1,5,4,319,40,28,4,0,61,6,80,8,163,27,0,1,6,24,0,13,0,12,0,5,1,30,52,5,1,4,1,2,14,0,23,58,26,5,98,31
140,10,117,33,367,593,22,118,320,126,211,1197,1302,204,22,51,194,753,0,204,8,503,64,34,111,4,1960,201,806,172,30,113210,62,27,41,71,400,33,83,2,662,9386,52,49,362,172,43,175,73,266,5,226,338,292,23,392,49,34,136,285,41,7297,7385,20,171,47,306,909,101,51,301,329
3,0,1,0,14,0,0,4,2,3,22,13,257,25,2,0,2,5,0,14,0,856,641,1,539,0,4,27,6,12,2,16,4794,1,2,5,10,5,3,0,34,7,5,1,13,2,0,2,0,5,0,21,21,124,0,31,0,2,6,2,2,4,12,1,36,0,9,41,5,2,17,7
9,3,8,2,230,3,1,69,24,16,11,0,73,51,8,3,6,27,1,77,347,5,1,3,1,12,3,24,11,50,13,14,0,8746,338,46,1043,53,7,28,157,9,292,393,298,58,1,4,1,130,5,78,0,18,4,14,2,813,88,5,34,1,1,108,28,1,147,175,153,16,173,57
16,21,14,8,148,1,1,34,29,58,56,1,261,53,20,14,17,56,4,69,36,17,51,7,6,28,8,72,11,43,12,37,13,303,12464,32,2615,27,11,3,135,23,29,1147,141,34,0,4,5,270,108,69,2,103,19,58,7,55,41,26,191,6,7,177,52,3,97,218,76,28,125,179
9,2,9,0,2051,3,0,2215,22,7,34,1,219,113,156,4,18,28,6,540,8,26,22,16,19,0,7,57,13,84,537,46,2,15,13,47647,101,102,8,6,592,14,166,28,803,271,1,9,4,109,3,111,4,64,1,36,1,92,3015,21,4,6,4,12,61,1,238,363,65,30,553,42
173,65,146,43,1012,23,10,180,408,3859,149,6,892,115,63,32,198,564,21,195,145,65,64,33,21,163,75,142,105,95,45,302,11,1899,6496,134,110471,80,40,12,635,96,164,1876,740,117,11,66,44,4947,353,125,16,186,58,129,39,1658,186,169,2104,52,40,768,104,29,262,563,550,173,670,6991
6,2,10,3,1833,0,1,191,14,6,19,1,114,62,104,6,16,21,194,125,57,7,10,8,5,4,4,43,5,85,91,13,6,38,21,221,71,19136,3,3,309,12,2496,31,600,120,0,2,1,59,2,111,1,27,12,12,3,148,230,7,7,2,2,13,38,1,185,313,77,12,302,26
561,2,1,1,40,0,0,20,3,7,450,1,331,116,3,0,3,5,0,146,1,11,25,196,13,2,2,84,60,29,2,23,9,7,19,12,112,4,3994,0,141,14,6,29,57,14,0,0,1,154,2,63,6,99,0,145,1,10,36,3,12,2,6,13,42,0,83,174,42,381,101,97
1,0,0,0,65,0,0,9,0,0,1,0,2,4,1,0,0,1,0,12,2,0,0,1,0,0,0,1,0,2,1,1,0,9,2,6,23,7,0,307,14,0,48,0,60,4,0,0,0,9,0,1,0,1,0,1,0,272,9,0,0,0,0,1,2,0,10,12,36,0,27,1
192,25,95,27,3149,23,18,858,123,70,460,33,5943,2704,400,36,114,320,31,2722,48,307,242,123,151,26,47,3223,193,8163,150,692,67,106,128,1108,748,311,147,19,738848,159,317,224,2394,21019,9,66,34,625,27,33089,69,1914,18,552,39,282,4335,159,58,55,92,178,5929,28,20180,96964,435,237,2730,391
247,4,71,5,93,39,16,26,148,86,123,61,451,91,8,22,79,251,0,69,1,88,44,13,35,2,892,102,1995,73,7,2865,15,9,22,25,139,15,37,0,269,22713,22,20,103,42,17,56,47,114,4,117,82,193,17,243,32,21,32,125,15,229,1093,7,82,30,98,242,35,52,117,266
4,2,5,1,2195,0,0,168,5,3,16,0,69,55,73,1,5,12,27,101,118,4,5,6,3,0,4,32,2,41,114,12,1,46,20,172,55,1259,4,24,173,7,9691,19,694,79,0,2,0,45,2,63,2,18,1,6,4,622,167,5,4,2,0,10,24,0,119,199,88,17,244,18
34,63,31,20,459,6,10,127,66,50,153,3,933,140,21,23,22,77,36,209,801,46,74,20,19,353,14,197,15,155,25,93,25,504,1437,85,1452,102,38,3,543,38,97,18504,421,176,2,13,17,406,388,282,6,245,22,108,29,117,132,50,111,10,16,5096,132,10,438,905,149,54,337,300
81,9,31,8,12662,8,7,28503,80,52,150,9,992,661,344,20,62,222,38,3927,167,112,49,535,23,17,30,221,53,169,392,286,14,232,124,1685,1123,587,131,106,1310,58,1120,221,159968,275,5,52,19,1730,21,270,8,176,13,121,13,2371,963,75,48,27,30,156,181,7,714,1004,11122,1590,40889,794
14,2,7,3,551,0,4,156,13,4,61,2,483,413,90,1,18,32,4,507,8,24,31,21,12,2,5,186,11,248,36,76,5,9,12,445,53,65,16,20,13057,11,77,21,239,64118,0,11,4,51,3,517,3,127,1,34,5,59,4590,16,6,5,6,33,216,0,8525,3290,35,31,255,30
1,0,11,0,2,385,0,2,91,7,2,3,11,4,0,1,458,182,0,3,0,1,1,0,1,0,9,0,0,0,0,40,0,0,0,1,11,1,0,0,12,4,1,1,4,0,1782,261,9,2,1,3,1,6,1,2,1,0,1,87,4,54,3,4,0,3,3,5,1,1,2,4
1,2,75,4,27,89,22,5,129,22,7,1,44,6,0,17,452,228,0,12,0,11,5,2,2,1,10,12,4,7,1,69,2,4,2,5,21,0,1,0,16,8,6,3,33,7,255,13117,155,9,1,10,1,14,5,9,6,5,5,3627,8,27,9,2,6,26,10,20,5,5,14,21
3,6,1284,21,12,11,1280,3,149,12,7,0,27,3,0,40,279,129,0,6,1,6,2,1,0,3,7,4,7,5,1,44,0,1,3,2,23,1,0,0,14,12,3,8,14,4,20,276,18474,4,6,5,0,11,28,10,43,3,3,2367,9,9,2,5,3,138,6,16,3,2,9,14
890,22,43,25,472,33,8,242,113,229,216,7,779,165,31,24,58,189,4,281,26,51,65,61,26,37,39,134,142,106,26,186,15,120,321,104,4706,41,412,4,576,74,66,290,705,132,5,27,10,57349,40,175,22,201,18,133,19,251,132,48,118,35,39,146,109,12,336,622,2889,2018,798,7711
5,341,26,25,37,1,5,14,29,49,27,1,90,25,3,17,12,39,0,17,4,18,4,6,1,82,3,39,12,19,7,11,2,9,44,3,190,2,3,0,47,6,5,97,46,11,1,5,9,56,2840,32,1,24,49,15,68,6,11,11,158,5,1,47,22,10,44,94,16,13,48,123
44,3,13,4,261,6,7,43,23,22,49,12,530,182,34,4,25,40,3,188,11,56,32,25,17,7,17,372,53,17740,20,101,9,13,40,62,86,42,18,3,9481,16,39,38,187,368,2,14,8,59,6,142891,18,422,10,86,11,44,178,23,12,11,13,38,6417,3,455,4685,43,32,265,44
28,0,3,0,7,2,0,5,4,5,60,251,303,18,0,0,2,10,0,13,0,1104,23,1,365,0,3,32,91,12,1,92,28,1,2,2,11,1,9,0,41,47,1,2,9,6,0,1,1,10,0,35,5609,97,1,834,0,2,8,3,2,8,439,2,21,1,21,48,1,10,21,12
135,2,41,4,177,7,9,44,61,19,340,36,6808,376,16,14,47,84,2,110,8,158,4468,30,114,8,26,6117,90,454,10,173,165,10,33,48,150,13,55,1,905,62,25,50,110,118,1,21,21,110,14,434,30,152069,16,228,14,22,58,53,16,21,52,41,7367,12,200,953,36,32,138,133
7,6,299,6,16,11,8,4,667,43,3,3,34,9,0,22,89,212,0,7,0,3,3,3,1,2,15,13,4,4,0,35,0,2,11,2,45,4,3,0,17,27,1,26,17,2,7,14,32,12,111,22,2,10,3536,7,246,1,5,39,145,24,10,7,5,46,22,24,2,1,10,17
3365,11,120,17,950,42,26,308,328,135,6949,155,9011,950,55,63,149,553,7,749,20,824,563,163,1230,19,191,916,4466,892,69,1267,208,63,105,277,630,94,1342,5,3701,855,104,103,828,507,29,121,89,576,12,1192,1612,1633,25,48542,38,99,518,300,80,200,619,72,792,40,1130,2986,208,215,765,685
13,92,376,580,35,19,100,16,252,22,24,5,180,27,2,319,102,273,0,22,2,18,27,3,20,17,26,58,27,20,3,177,10,5,12,10,60,5,5,0,75,39,4,32,40,21,7,55,130,33,70,48,13,68,117,40,6595,4,23,253,22,49,32,13,30,1507,30,162,10,8,32,37
11,5,17,3,1768,1,3,236,37,31,18,0,122,89,47,8,27,54,4,156,49,12,6,20,4,4,11,57,5,52,68,20,4,348,107,186,1508,132,9,776,303,11,1469,88,1694,96,2,9,12,256,13,83,0,35,5,19,4,15568,169,30,32,8,3,54,29,4,213,256,1904,44,534,100
19,2,15,5,1413,2,3,1620,23,23,65,8,534,304,114,2,31,55,7,2068,13,36,31,37,14,7,10,135,36,225,78,71,5,30,19,7268,140,118,25,10,2035,25,128,39,692,3567,3,12,8,102,6,351,8,147,4,51,4,116,91709,15,6,6,18,25,155,4,1103,1072,92,38,677,66
19,10,667,36,139,69,175,31,714,70,31,2,263,41,6,74,1853,1097,2,47,0,23,14,8,10,7,54,38,23,24,7,165,6,24,32,24,225,14,9,0,129,73,19,48,105,28,171,11211,4045,79,17,44,5,55,44,49,56,25,36,59971,47,86,32,18,29,112,52,131,32,17,75,104
4,20,15,3,23,3,1,5,156,601,6,1,38,11,1,7,26,73,0,17,1,7,10,1,2,15,6,10,3,8,1,15,0,15,129,5,849,4,1,0,24,10,4,47,34,7,0,6,4,43,390,14,3,13,44,9,6,14,6,16,7124,7,1,18,10,5,11,32,20,4,24,157
12,3,55,5,16,620,5,8,306,151,22,14,134,21,1,15,155,1384,0,25,0,28,10,2,6,0,841,32,28,16,3,1392,5,4,6,4,44,6,8,0,73,158,5,1,28,12,67,43,29,29,3,34,7,46,22,37,17,3,8,103,11,8909,72,1,30,14,26,89,10,9,22,82
26,1,16,0,9,10,2,7,21,18,36,768,191,23,2,2,14,36,0,17,0,254,28,3,56,0,45,29,362,20,1,1238,26,2,6,7,21,1,18,0,51,856,1,5,23,11,2,8,7,24,3,27,673,78,3,209,4,2,18,18,6,67,9010,1,25,3,31,83,7,10,24,26
31,19,16,13,351,3,3,113,37,14,111,5,665,140,22,9,16,50,20,185,112,29,47,18,14,188,10,155,14,162,23,49,21,122,160,76,585,47,27,2,497,26,65,2291,320,176,1,6,12,229,76,217,4,164,6,107,16,97,129,28,38,13,14,7305,120,5,404,856,126,34,263,129
44,11,13,3,163,2,4,82,18,6,121,13,1304,233,23,8,30,44,1,145,1,82,209,18,41,9,12,3922,30,5894,13,92,30,8,17,81,73,26,15,1,2656,28,19,28,184,298,0,21,7,74,2,4824,11,4573,2,121,17,15,137,30,14,10,22,25,69440,5,512,5095,24,19,192,43
4,17,986,70,14,17,709,4,186,13,12,3,75,5,2,468,122,187,0,11,0,10,12,1,2,5,16,25,5,18,0,64,5,3,6,2,29,1,1,0,24,20,4,7,19,4,10,82,240,20,6,13,2,29,63,10,414,4,4,292,9,18,9,19,17,5269,14,37,8,2,17,15
45,4,18,3,309,2,2,195,18,17,121,9,544,7363,31,5,23,51,2,4734,15,54,20,72,21,6,11,585,24,248,11,111,13,28,31,148,132,38,31,2,10384,23,58,73,478,7452,0,11,2,132,12,564,6,178,10,49,8,52,2039,21,16,10,11,61,351,1,104327,12447,110,67,725,64
158,19,45,9,896,22,10,320,67,32,294,25,4212,7033,158,21,97,291,10,1257,20,198,179,74,108,33,36,16921,145,2128,45,566,31,39,81,267,311,144,99,4,87805,92,131,196,839,5638,2,41,26,332,37,14262,42,1380,13,288,50,103,979,79,44,37,55,187,11481,20,29444,388767,131,137,1106,152
37,4,16,7,610,2,2,401,29,22,46,2,171,114,31,3,12,45,0,298,9,13,6,77,5,6,12,50,14,86,28,54,2,74,44,78,438,46,45,21,436,18,120,56,5342,85,2,6,7,2103,6,122,2,46,4,31,2,1515,74,17,19,5,8,44,35,4,273,383,23909,1636,2108,326
400,2,2,3,128,1,0,103,7,10,93,4,220,132,10,1,6,11,0,316,3,9,20,419,5,1,5,76,58,38,13,75,5,12,21,25,129,11,885,0,241,40,20,25,348,68,0,1,2,692,3,83,2,82,2,43,0,25,37,4,10,9,22,13,39,3,171,252,262,6352,850,263
97,11,32,7,3169,4,6,6144,57,43,222,10,999,1506,141,11,39,122,22,10642,39,82,51,2726,32,17,21,268,47,203,129,193,18,127,95,588,604,213,386,31,1744,60,382,122,18084,388,1,21,10,715,21,327,20,235,16,111,11,488,914,49,37,20,28,95,175,3,1443,1431,2457,2845,129745,315
2678,14,70,10,218,13,4,56,174,3205,102,5,387,79,19,24,79,259,2,129,10,33,20,30,20,17,166,69,578,70,26,236,10,53,182,58,7387,26,70,1,283,161,21,169,216,50,6,33,20,4376,97,121,15,104,29,128,13,70,56,63,493,61,28,71,83,16,114,250,216,389,224,45749
